,id_perfil,descripcion_perfil,nombre_perfil
0,1fb48bacd0374f068839fbf70e5a0491,tBaGhcsnqPsBH3wNcdxbvLuPv,Administrador
1,34a89f1a32334397a2b19e7d0090735e,9ZiWgLGDeStuBMJTKbUgjFttx,Administrador
2,9817289e47ec4f0a8b575d0f94d51a75,MAcXhalBmsh9oaLRdjnFLZIVu,Administrador
3,d8939980eaa04858848a23cdb2871264,3NszOSp7fmKFjDn6HCy0HEhtx,Usuario
4,ae583d033c394a36a078265d65f77a3d,ierz16M9GcfZSo0tbyHQGkw5Q,Administrador
5,18c2cc80d0fb46ccad5e5cbfecc3c17c,JvIbKMU0pjWqvZ1iNfZiJLTsd,Usuario
6,6963733eaa3a491780eec1ca2c14e477,fI8khKshYQYNvWO9OAY2cKllE,Administrador
7,2432aad4a95f42c2bd93478bf74b6fc1,RnDTopQTQOzEEBlEQ8M3cn1uT,Usuario
8,f571359710bd49a2acd6b13b99d65d49,UlqVNW7LRdl5XRoQbnzmcvS97,Administrador
9,836d39e30db240998fdff51f27073250,wJvkKTAhtf3N415AJzI426DG5,Administrador
10,5897b171f57d40599a55e7eac78a0484,hSk2Tx1omhPrmDnDIAkkeAO55,Administrador
11,9299446c538b43d0b5663019c328009c,WvZAFsnFRWsX8uZ0xktZjhnvA,Usuario
12,79f0c12b98c348ad997a06a5b3d49b61,XF7xW2Kf2VJuO4r4r8H1MLrqx,Administrador
13,3271243c492b4bfab4792d2b340a0ca1,LQyNfJxpC2fxfzT2KAZMNIlkK,Usuario
14,7efddf4e2a0241afaf5855ba5202b46e,YG6PiJMtduiEOYDikNIzs6OhL,Administrador
15,cb832456f01945cb91dc52ab1ba8431b,V5Kspv2Gaz7n8hvYPqGzOXCvj,Administrador
16,d7b5ee7f21ae428abde69bb234903aea,ZzQHe1ByamX5z059yTUpt3eNR,Administrador
17,19f032d84b554092b39f830bf915b47d,217nQaewWmEesfR0TxYjVq9ra,Usuario
18,2ecea702318b4c8caf51d98f6448d275,FOrAmaVBcKnQr0C9v0IQAEKuy,Usuario
19,a69d74fc9ef540118c1e5c39f6eb24a2,Z3ON6MZHTHdo9hHe0RbBO0zXU,Usuario
20,0bdc0872ee6041969901c6b69090f23a,OkrXxqXRKCXzWvChAoKyqqChN,Administrador
21,57e802033a0147d5971a8e24f47b7dc3,KR5X4rENvWcYnyH0VCxABXRBg,Usuario
22,2aca6707539f467b9782b42424e6cd37,sziNADcWJRK9LvlHTkYEStJb3,Administrador
23,702da15a073f442e8e14860221efb359,FyF5t1HZrtWLJzLYdsjlDnfIJ,Administrador
24,0ad1260b29824c7fb1fed94a6b5685c1,J0qChoZ1XgpjNOQU4oBfkpSjd,Administrador
25,fce4e458ae27439c8ef594e08933c917,cd2Q9wwkrINoZZD2JjE1YdjlW,Administrador
26,76342bb5ed3f4c56a1c19ff94ca019b4,HVk3UCGFm2qTCvnRm74iGEvuR,Administrador
27,15d2f47005354ae0bbed1f64a6781681,YFnMTKTcmZnNZ6JDj2q6H5IdC,Administrador
28,bf17e72922dc476eb9ac6061c5c88ad6,K91AgPpcg2qdO6ouxBkQtik26,Usuario
29,ae6adcffe2034f7d8e5714f4c91f00d6,SCzXHMayy5TqHCPfLmOjUOsvD,Administrador
30,a0559585d8ef415fa4d0571e5014f724,cKqe9pEGR0YnTcb5XX04H4W6N,Administrador
31,7a2a4529a4774733a16b268845dfb8b0,m2tAXZU9D6XcZ4OvXGQrlHGn2,Usuario
32,64a157ec62d948ddae427e39dae38065,J3woiGNFj5Te1oc1rgyfpL3VW,Usuario
33,259d41c72c0c4dcd9cb03a6550a61f65,Nyg6iuVD4tmJJIvvsI8OrRtyV,Usuario
34,28105811bdbf4bb28250c29dd0940415,Qz0nGBlhy4ItH0XzJJwQb65jm,Usuario
35,48630965329b4f478c25219c2c4934b0,YCQpcDMZiGvHrdwrVDwqnuLqn,Usuario
36,6f0bd14503924b88ac1947f7297c5361,pTS78NG40v2enuGyXPNmVOXrb,Administrador
37,1bb1d0de8d8d48f4b4e4124ad2a22941,tjR2QEiy8MsWWxrPvxRloUatH,Administrador
38,8f9a14f11e5345fea5785c430570356a,MnqNfxtWvJYCloHseN0uACV0t,Administrador
39,1276c63ed5af41c7843cfd1c6de895d1,5YkUuTbVIvJxbWHOx2CzbLvP7,Usuario
40,bf5fd8596fc24d68986a08052f727ea1,gcwI8JMkRHQ7qJQjHorkqyYpK,Administrador
41,407add51f17d44a3b89279fd170b33e3,VK8TnHworzLWT3HlR0BGG0ssE,Administrador
42,8a967fdb80c048e8a11ef3fbd9edcba9,sU6wjZEjrPw9CMnJMjRnKaRNz,Usuario
43,9ebd6d2534b548aa8eeb0fc2a2f53111,755cRNiF0F7YDmeT2w8oWY11R,Administrador
44,795685c115c04ac0a05bcb19f8d0878b,9WsTjSVw9j14jh66NwsUEnfI2,Administrador
45,cdf4ddc6d47e4d268657e9109f674e37,suaskDNLCOqpIIxOwDNOd9eED,Usuario
46,38d44566f8fe4f76b3144b27b2afe10e,b2hUP38nuaHBokYD8hPAWOpOm,Usuario
47,e2812adcbdf046dfbb1774788b2f3e3c,L8FHcJ1Z035eGr416FIWnOHC8,Administrador
48,6540603e087341c7be94824bb27d7de8,1xFxk7Ya9ME1qXl1wzMapW4Ti,Usuario
49,cc23c958a02546ccbfa3cae4807773f2,N3XYqQHVvF6gbARpHWMDIQ9hr,Administrador
50,a5290bdf91e14a46910819f3f1bea33c,19DHDbx4QOodrIaHcHa2eWX6M,Administrador
51,cf7f95bc4fd0441c87ff5ea1be8ca007,T070W0GtVWWYiHoywT3hZMK7O,Usuario
52,f311d81d14fe4a5b8d9fcd79c895cb16,1BmMJVGLGtfi3oSCptE90JTET,Administrador
53,e39939af127d4b1e908a80e7c201a25d,8CrlOvcVGeXMyrCHe8cCs5vqs,Usuario
54,ab174079516e47889bd82da02258c6e5,m7AIEBcJM7vTbFvL1AKT42Siw,Administrador
55,e4e0bb354b8d497eb5af0867d351e351,fHlfAbsrAiVKPwBmQCBrCsMNg,Usuario
56,36dec3d8c6c247448e62ede5fe2e0199,DlkBgIKp1YDQ5JAxGob6fqvTU,Administrador
57,6a7cdefa19bd4cfbbd30654b47611f29,AovrQko7HGeDxcl9toFYD2735,Usuario
58,a2c167ca5d8e4e5db70f79e1ccb22748,RWWJ17eKbQuhdlVJst4Bg82Nm,Administrador
59,e2dcc44a28564b33b3124aee50a2b9aa,kpLyhYflHZTfmKGvz8jtgbxXi,Administrador
60,5217d7ab157c4206b12d0c59c0674f75,Za8uSRSC4pmxI3g0dBlTgnK3D,Usuario
61,d2cbdda639254ef0b908f27b551ac967,obUAty5RuiFmqUEG49OIBqP17,Usuario
62,0dcce62b3b214d29be041da3efb00b70,iiyIWW87Gq0ta1MPG65Hzzi3J,Administrador
63,7e2d6a0b2462472a9f723d5e211a31b3,NGqLzmZVjrC9brPLqd1CMdJQh,Administrador
64,d3c2467a4f404ffaadbc3a5dbfa5524a,Pb9NFXCbswGU8jyXuEofV1W1N,Administrador
65,ea08cd384d274f56a17ab61b9cbd73f8,jxhmjsCgcMx8O9Wuecr5JssGc,Usuario
66,bf8f12be0a2f46a2822097207763ae3c,BdJiD9uLZB4MkM88TEy3JBrm5,Administrador
67,8dbbc0523aff45da8dcf52104bf1a6bf,BICRjvSwtoLGi0xt044YXfmf8,Usuario
68,74369a2f15834145aee67cc0f7b65ddf,QWJKK1RM4GJaHFkigWq4nUuZj,Usuario
69,c2291229839a41fab84663147d5bc97d,hFcbgbyjqBdlBdjK56YhXKHXc,Usuario
70,9ab6f97a59d44ef5afdfed30c4d20cd2,udS0VsFjtFD3QcFPUNP486NQy,Usuario
71,64a2ccc893e046eb9fa256f07a418b1c,DElDHPt1OxOPxigF4LPHTixIl,Administrador
72,d319885536424edabe3b3e04f6776270,l7NW7v3sFa1qDLtlpP1DnT7cp,Administrador
73,cf3ac4d82b144cdebc532e46095aa90e,jUE5uYwwbarCGP9pFKuy4IZWH,Usuario
74,22017e643fc34c85be92ad97cb1057b8,kE5uVEYDx1JI8FLiO2X56B6E9,Administrador
75,4a2c826ddc774da9907d813d023ecfd7,zwkbN38myO3ZviI2zTqnYxmb8,Usuario
76,43922f7abe904ea2aaedf659e7dde027,9T6KPcQBqiwvF9IBYwJIfKjyy,Administrador
77,09442bde22c74a588b0cd2cde6610c8f,krj9KKjxZg4tkQqCF7XdIzNc8,Usuario
78,fb0efe4f30824c6ebd8fc17ec031c67d,1GU4rEcJIMV7DKUld84YN2zQe,Usuario
79,4d645ab7284241bd931d6a2597809ad0,tzZ0ZkCUWWOiymCpKAcf1jJjK,Administrador
80,8681c21a2446401c8684fac45a4798b6,QRa71soa9xAKRgBzx7ZNCSGJa,Administrador
81,fb26e09c0f814e468ed0638737805d09,paZXdTJFemLpRaPOKo2DvSNtZ,Administrador
82,9a422f8dac834dfe8f3bb4b2997a62b4,Hy7PzCBBRWhDxinTEnXhwdPpP,Administrador
83,db4a93ca7812432b8604caf25abe8e9c,P4nSV4yCEqV4GJUgSlzCQ6zjg,Usuario
84,11814a8b4843411cad613ce60499f89d,n8U3jkUNJIC1d4pofiY3bqv7y,Administrador
85,bab64a7d4c5949ee80490c92423777df,CsB5bcT8QX5ZHJxRgPoFezQEO,Usuario
86,ef61cd4785224aca85c0239467c3aafe,dACvSc6lT9jT55T5sJmoKcw6D,Usuario
87,63bb949b5a9d4e94ba4d5cd8feacf74c,TXK454gAV6EgTpVDLtlFTUJha,Administrador
88,0f037d762f8149e39e46442a8eb356f6,HwdvhBNA0DRdKmVn4jFgEzhTE,Administrador
89,f5e06aa50e814341a71c9cc220cbe7f0,kxBCGjhXADsjIAJldiX7DGure,Usuario
90,3d24f0bcd69b49798081335b09810664,WF9RPDDltr4LqmlriO7hW3JgK,Usuario
91,8448fb9434e148b0af9285ae45270f1f,ye4gj3sC0PIuxwiddFSx9HAiH,Administrador
92,b66201c8df5f445785ad97bfadd7ee8e,kXgmHE7OPhqZl7nFWicdqE3oe,Usuario
93,479cfb1c77d34cd0a6cecb5d4e327a85,6fKf7yr8lHMVqgR6Kq0xDoILh,Usuario
94,4046c310cf284a1ea30a19cbbbb20631,lDH0eHhDGVo39AA7FMX1NkZcK,Usuario
